"hour","year","month","day","time_h","device","time_proper","Meeps","temp_mean","rh_mean","dp_mean"
7,2025,8,4,2025-08-04 07:00:00,"PIKARU6",2025-08-04 07:00:00,13,9.90916666666667,66.2883333333333,3.91916666666667
7,2025,8,5,2025-08-05 07:00:00,"PIKARU20",2025-08-05 07:00:00,2,8.71,80.5133333333333,5.555
7,2025,8,5,2025-08-05 07:00:00,"PIKARU21",2025-08-05 07:00:00,0,8.71,80.5133333333333,5.555
7,2025,8,5,2025-08-05 07:00:00,"PIKARU25",2025-08-05 07:00:00,1,8.71,80.5133333333333,5.555
7,2025,8,5,2025-08-05 07:00:00,"PIKARU2",2025-08-05 07:00:00,1,8.71,80.5133333333333,5.555
7,2025,8,5,2025-08-05 07:00:00,"PIKARU6",2025-08-05 07:00:00,1,8.71,80.5133333333333,5.555
8,2025,8,2,2025-08-02 08:00:00,"PIKARU20",2025-08-02 08:00:00,4,11.72,74.1933333333333,7.28
8,2025,8,2,2025-08-02 08:00:00,"PIKARU21",2025-08-02 08:00:00,0,11.72,74.1933333333333,7.28
8,2025,8,2,2025-08-02 08:00:00,"PIKARU25",2025-08-02 08:00:00,2,11.72,74.1933333333333,7.28
8,2025,8,2,2025-08-02 08:00:00,"PIKARU2",2025-08-02 08:00:00,1,11.72,74.1933333333333,7.28
8,2025,8,2,2025-08-02 08:00:00,"PIKARU6",2025-08-02 08:00:00,7,11.72,74.1933333333333,7.28
8,2025,8,4,2025-08-04 08:00:00,"PIKARU20",2025-08-04 08:00:00,1,12.5716666666667,59.9408333333333,4.9975
8,2025,8,4,2025-08-04 08:00:00,"PIKARU21",2025-08-04 08:00:00,0,12.5716666666667,59.9408333333333,4.9975
8,2025,8,4,2025-08-04 08:00:00,"PIKARU25",2025-08-04 08:00:00,2,12.5716666666667,59.9408333333333,4.9975
8,2025,8,4,2025-08-04 08:00:00,"PIKARU2",2025-08-04 08:00:00,0,12.5716666666667,59.9408333333333,4.9975
8,2025,8,4,2025-08-04 08:00:00,"PIKARU6",2025-08-04 08:00:00,11,12.5716666666667,59.9408333333333,4.9975
8,2025,8,5,2025-08-05 08:00:00,"PIKARU20",2025-08-05 08:00:00,6,9.33833333333333,80.605,6.18416666666667
8,2025,8,5,2025-08-05 08:00:00,"PIKARU21",2025-08-05 08:00:00,0,9.33833333333333,80.605,6.18416666666667
8,2025,8,5,2025-08-05 08:00:00,"PIKARU25",2025-08-05 08:00:00,0,9.33833333333333,80.605,6.18416666666667
8,2025,8,5,2025-08-05 08:00:00,"PIKARU2",2025-08-05 08:00:00,0,9.33833333333333,80.605,6.18416666666667
8,2025,8,5,2025-08-05 08:00:00,"PIKARU6",2025-08-05 08:00:00,0,9.33833333333333,80.605,6.18416666666667
9,2025,8,2,2025-08-02 09:00:00,"PIKARU20",2025-08-02 09:00:00,6,12.9825,66.9283333333333,6.9825
9,2025,8,2,2025-08-02 09:00:00,"PIKARU21",2025-08-02 09:00:00,0,12.9825,66.9283333333333,6.9825
9,2025,8,2,2025-08-02 09:00:00,"PIKARU25",2025-08-02 09:00:00,2,12.9825,66.9283333333333,6.9825
9,2025,8,2,2025-08-02 09:00:00,"PIKARU2",2025-08-02 09:00:00,1,12.9825,66.9283333333333,6.9825
9,2025,8,2,2025-08-02 09:00:00,"PIKARU6",2025-08-02 09:00:00,19,12.9825,66.9283333333333,6.9825
9,2025,8,4,2025-08-04 09:00:00,"PIKARU20",2025-08-04 09:00:00,2,13.49,56.425,5.00166666666667
9,2025,8,4,2025-08-04 09:00:00,"PIKARU21",2025-08-04 09:00:00,0,13.49,56.425,5.00166666666667
9,2025,8,4,2025-08-04 09:00:00,"PIKARU25",2025-08-04 09:00:00,1,13.49,56.425,5.00166666666667
9,2025,8,4,2025-08-04 09:00:00,"PIKARU2",2025-08-04 09:00:00,1,13.49,56.425,5.00166666666667
9,2025,8,4,2025-08-04 09:00:00,"PIKARU6",2025-08-04 09:00:00,1,13.49,56.425,5.00166666666667
9,2025,8,5,2025-08-05 09:00:00,"PIKARU20",2025-08-05 09:00:00,7,10.0175,78.3,6.42416666666667
9,2025,8,5,2025-08-05 09:00:00,"PIKARU21",2025-08-05 09:00:00,0,10.0175,78.3,6.42416666666667
9,2025,8,5,2025-08-05 09:00:00,"PIKARU25",2025-08-05 09:00:00,5,10.0175,78.3,6.42416666666667
9,2025,8,5,2025-08-05 09:00:00,"PIKARU2",2025-08-05 09:00:00,0,10.0175,78.3,6.42416666666667
9,2025,8,5,2025-08-05 09:00:00,"PIKARU6",2025-08-05 09:00:00,13,10.0175,78.3,6.42416666666667
10,2025,8,2,2025-08-02 10:00:00,"PIKARU20",2025-08-02 10:00:00,4,13.95,55.8716666666667,5.285
10,2025,8,2,2025-08-02 10:00:00,"PIKARU21",2025-08-02 10:00:00,0,13.95,55.8716666666667,5.285
10,2025,8,2,2025-08-02 10:00:00,"PIKARU25",2025-08-02 10:00:00,3,13.95,55.8716666666667,5.285
10,2025,8,2,2025-08-02 10:00:00,"PIKARU2",2025-08-02 10:00:00,0,13.95,55.8716666666667,5.285
10,2025,8,2,2025-08-02 10:00:00,"PIKARU6",2025-08-02 10:00:00,8,13.95,55.8716666666667,5.285
10,2025,8,4,2025-08-04 10:00:00,"PIKARU20",2025-08-04 10:00:00,1,15.0316666666667,54.3233333333333,5.89166666666667
10,2025,8,4,2025-08-04 10:00:00,"PIKARU21",2025-08-04 10:00:00,0,15.0316666666667,54.3233333333333,5.89166666666667
10,2025,8,4,2025-08-04 10:00:00,"PIKARU25",2025-08-04 10:00:00,3,15.0316666666667,54.3233333333333,5.89166666666667
10,2025,8,4,2025-08-04 10:00:00,"PIKARU2",2025-08-04 10:00:00,1,15.0316666666667,54.3233333333333,5.89166666666667
10,2025,8,4,2025-08-04 10:00:00,"PIKARU6",2025-08-04 10:00:00,2,15.0316666666667,54.3233333333333,5.89166666666667
10,2025,8,5,2025-08-05 10:00:00,"PIKARU20",2025-08-05 10:00:00,5,10.7258333333333,77.8916666666667,7.03583333333333
10,2025,8,5,2025-08-05 10:00:00,"PIKARU21",2025-08-05 10:00:00,1,10.7258333333333,77.8916666666667,7.03583333333333
10,2025,8,5,2025-08-05 10:00:00,"PIKARU25",2025-08-05 10:00:00,1,10.7258333333333,77.8916666666667,7.03583333333333
10,2025,8,5,2025-08-05 10:00:00,"PIKARU2",2025-08-05 10:00:00,0,10.7258333333333,77.8916666666667,7.03583333333333
10,2025,8,5,2025-08-05 10:00:00,"PIKARU6",2025-08-05 10:00:00,4,10.7258333333333,77.8916666666667,7.03583333333333
11,2025,8,2,2025-08-02 11:00:00,"PIKARU20",2025-08-02 11:00:00,5,14.6491666666667,50.4666666666667,4.4825
11,2025,8,2,2025-08-02 11:00:00,"PIKARU21",2025-08-02 11:00:00,0,14.6491666666667,50.4666666666667,4.4825
11,2025,8,2,2025-08-02 11:00:00,"PIKARU25",2025-08-02 11:00:00,3,14.6491666666667,50.4666666666667,4.4825
11,2025,8,2,2025-08-02 11:00:00,"PIKARU2",2025-08-02 11:00:00,0,14.6491666666667,50.4666666666667,4.4825
11,2025,8,2,2025-08-02 11:00:00,"PIKARU6",2025-08-02 11:00:00,8,14.6491666666667,50.4666666666667,4.4825
11,2025,8,4,2025-08-04 11:00:00,"PIKARU20",2025-08-04 11:00:00,2,15.4958333333333,51.5066666666667,5.55416666666667
11,2025,8,4,2025-08-04 11:00:00,"PIKARU21",2025-08-04 11:00:00,0,15.4958333333333,51.5066666666667,5.55416666666667
11,2025,8,4,2025-08-04 11:00:00,"PIKARU25",2025-08-04 11:00:00,3,15.4958333333333,51.5066666666667,5.55416666666667
11,2025,8,4,2025-08-04 11:00:00,"PIKARU2",2025-08-04 11:00:00,0,15.4958333333333,51.5066666666667,5.55416666666667
11,2025,8,4,2025-08-04 11:00:00,"PIKARU6",2025-08-04 11:00:00,2,15.4958333333333,51.5066666666667,5.55416666666667
11,2025,8,5,2025-08-05 11:00:00,"PIKARU20",2025-08-05 11:00:00,6,10.83,80.5575,7.62833333333333
11,2025,8,5,2025-08-05 11:00:00,"PIKARU21",2025-08-05 11:00:00,0,10.83,80.5575,7.62833333333333
11,2025,8,5,2025-08-05 11:00:00,"PIKARU25",2025-08-05 11:00:00,6,10.83,80.5575,7.62833333333333
11,2025,8,5,2025-08-05 11:00:00,"PIKARU2",2025-08-05 11:00:00,0,10.83,80.5575,7.62833333333333
11,2025,8,5,2025-08-05 11:00:00,"PIKARU6",2025-08-05 11:00:00,5,10.83,80.5575,7.62833333333333
12,2025,8,2,2025-08-02 12:00:00,"PIKARU20",2025-08-02 12:00:00,5,15.3425,48.5425,4.56166666666667
12,2025,8,2,2025-08-02 12:00:00,"PIKARU21",2025-08-02 12:00:00,0,15.3425,48.5425,4.56166666666667
12,2025,8,2,2025-08-02 12:00:00,"PIKARU25",2025-08-02 12:00:00,0,15.3425,48.5425,4.56166666666667
12,2025,8,2,2025-08-02 12:00:00,"PIKARU2",2025-08-02 12:00:00,0,15.3425,48.5425,4.56166666666667
12,2025,8,2,2025-08-02 12:00:00,"PIKARU6",2025-08-02 12:00:00,5,15.3425,48.5425,4.56166666666667
12,2025,8,4,2025-08-04 12:00:00,"PIKARU20",2025-08-04 12:00:00,6,16.0533333333333,49.5725,5.4975
12,2025,8,4,2025-08-04 12:00:00,"PIKARU21",2025-08-04 12:00:00,0,16.0533333333333,49.5725,5.4975
12,2025,8,4,2025-08-04 12:00:00,"PIKARU25",2025-08-04 12:00:00,6,16.0533333333333,49.5725,5.4975
12,2025,8,4,2025-08-04 12:00:00,"PIKARU2",2025-08-04 12:00:00,3,16.0533333333333,49.5725,5.4975
